user_id|status_id|created_at|screen_name|text|status_url|lat|long|place_full_name|revisado
2588534869|1440123105599442950|2021-09-20 20:17:59-05:00|enteratepuntoec|🔴 20 perros sin hogar fueron envenenados en el sector de Atucucho en Quito. Las autoridades están en búsqueda de lo… https://t.co/PargDNbhBC|https://twitter.com/enteratepuntoec/status/1440123105599442950|-0.1665705005053845|-78.55668150184675|Quito, Ecuador|SI
2502447003|1440113098765914114|2021-09-20 19:38:13-05:00|marco_oquendo|@chipotes1971 @Marcosjfc7 @GuadalupeLlori Y creo lo más importante: que se alimentó sin robar a nadie|https://twitter.com/marco_oquendo/status/1440113098765914114|-2.5129950002854047|-80.0911930029877|Guayaquil, Ecuador|SI
227489774|1440107919563952131|2021-09-20 19:17:38-05:00|davidmera23|Jajajajaja son de ripley estos cracks nuestros de la política. Lo peor de todo es que se hará la victima y no PASAR… https://t.co/yoK2rDVMPa|https://twitter.com/davidmera23/status/1440107919563952131|-2.5129950002854047|-80.0911930029877|Guayaquil, Ecuador|SI
1410594148835422217|1440105984056254465|2021-09-20 19:09:57-05:00|Secretaria_PyN|"#AgendaDeActividades | Hoy, organizaciones sociales se reunieron con el ministro @luis_pachala para analizar:
-Proy… https://t.co/7JPM5uoYcG"|https://twitter.com/Secretaria_PyN/status/1440105984056254465|-0.1665705005053845|-78.55668150184675|Quito, Ecuador|SI
173010135|1440105472539910145|2021-09-20 19:07:55-05:00|ninsur|@EviJani No sólo se aprovechan los transeúntes sino hasta los policías de tránsito y si van a juicio, hasta el juez pide tajada.|https://twitter.com/ninsur/status/1440105472539910145|-2.5129950002854047|-80.0911930029877|Guayaquil, Ecuador|SI
618518915|1440104718861312001|2021-09-20 19:04:55-05:00|felipeduran1962|@LassoGuillermo @JohnKerry Jajajajajaja cambio climático, la realidad lacerante y miserable del Ecuador es otra, co… https://t.co/VDWvvNLgou|https://twitter.com/felipeduran1962/status/1440104718861312001|-2.866045000198925|-79.22434949817489|Cuenca, Ecuador|SI
197097278|1440103097070542852|2021-09-20 18:58:28-05:00|radialvision|"Noticias 🗞 | Cuenca 🔴🟡

La Ciclorruta de la Avenida Ordóñez Lazo fue aprovechada por alrededor de 100 ciclistas en… https://t.co/LED937ir5l"|https://twitter.com/radialvision/status/1440103097070542852|-2.866045000198925|-79.22434949817489|Cuenca, Ecuador|SI
927869952798941184|1440100983468593152|2021-09-20 18:50:04-05:00|DefensoresAn|@GelitzaRobles Estafadores siguen causando muerte y dolor. No son Veterinarios pero ofrecen Esterilizaciones en red… https://t.co/SvXCfhckdr|https://twitter.com/DefensoresAn/status/1440100983468593152|-2.5129950002854047|-80.0911930029877|Guayaquil, Ecuador|SI
1166953421355835393|1440099869511856128|2021-09-20 18:45:39-05:00|chicadehumo_gye|Está Guadalupe de porra me recuerda a mi ex jefa, poniendo sobreprecio a TODO para robar hasta la SANGRE 🤦🏻‍♀️ https://t.co/ualdEIRMFk|https://twitter.com/chicadehumo_gye/status/1440099869511856128|-2.5129950002854047|-80.0911930029877|Guayaquil, Ecuador|SI
263456799|1440096355830095874|2021-09-20 18:31:41-05:00|solmunoza|@Latortu Tu relato me ha sacado lágrimas. Te entiendo perfectamente ese amor inmenso por tu perrito, yo siento eso… https://t.co/dDgUVVLXFj|https://twitter.com/solmunoza/status/1440096355830095874|-0.1665705005053845|-78.55668150184675|Quito, Ecuador|SI
